,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
897,MathTrackX: Probability,,Self-paced on your time,University of Adelaide,Dr Brendan Harding-Dr Melissa Humphries-Dr David Butler-Dr Danny Stevenson,Introductory,Math,English,English,79.0,4,3,6
898,Health Informatics for better and safer healthcare,,Self-paced on your time,IsraelX,Maxim Topaz,Introductory,Health & Safety,English,English,49.0,4,3,4
899,Sign Language Science: Factors Contributing to Natural Change,,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,English,99.0,4,3,5
900,Accounting System Structure and Information Management,,Self-paced on your time,NYIF,Jack Farmer,Introductory,Economics & Finance,English,English,50.0,4,1,2
901,Sustainable Development: The Post-Capitalist Order,"7,031",Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Introductory,Economics & Finance,English,English,49.0,8,2,4
902,"Health Law, Policy, and Advocacy","6,358",Self-paced on your time,Doane University,Susan Sapp-Alice Kindschuh,Intermediate,Law,English,English,199.0,5,5,10
903,Introduction to Haptics,,Self-paced on your time,Stanford University,Allison Okamura,Introductory,Engineering,English,English,129.0,5,1,10
904,Gestión de inventario y portafolio,,Self-paced on your time,LOGYCA,Juan Carlos Martínez Rodríguez-Alex Fernando Bedoya Villamarín-Andrés Felipe Velandia Venegas-Maria Fernanda Torres Rojas,Introductory,Engineering,Español,Español,25.0,5,3,5
905,Understanding Nuclear Energy,"16,015",Self-paced on your time,Delft University of Technology,Rudy Konings-Jan-Leen Kloosterman-Stefaan Pommé-Victor Hugo Sánchez Espinoza,Intermediate,Engineering,English,English,50.0,6,4,6
906,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),"11,431",Self-paced on your time,Catalyst,María del Carmen Bernal González-Alejandra Moreno Maya-Deepali Bagati-Krista Brookman,Introductory,Business & Management,Español,Español,50.0,4,1,2
907,Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,,Self-paced on your time,Delft University of Technology,Tina Nane-Anca Hanea-Roger Cooke,Introductory,Business & Management,English,English,50.0,6,4,6
908,AP® Calculus BC,"8,542",Self-paced on your time,Davidson Next,Stephen Davis-Ben Klein-Jane Wortman,Introductory,Math,English,English,49.0,11,2,4
909,Advanced Linear Algebra: Foundations to Frontiers,,Self-paced on your time,The University of Texas at Austin,Maggie Myers-Robert van de Geijn,Advanced,Computer Science,English,English,49.0,16,8,12
910,Entrepreneurial Opportunities,"27,182",Self-paced on your time,University of Adelaide,Noel Lindsay-Wendy Lindsay-Zrinka Tokic-Diana Lucic,Introductory,Business & Management,English,English,50.0,5,2,3
911,Agua en América Latina: Abundancia en medio de la escasez mundial,"38,581",Self-paced on your time,Inter-American Development Bank,Jorge Ducci-Juan Mauricio Benavides-Mario Díaz Granados-Luis Alejandro Camacho,Introductory,Environmental Studies,Español,Español,25.0,10,3,4
912,Understanding Political Concepts,"7,421",Self-paced on your time,Università degli Studi di Napoli Federico II,Mauro Calise-Werner Patzelt-Fortunato Musella-Valentina Reda,Introductory,Social Sciences,English,English,59.0,6,4,6
913,How to Code: Complex Data,"34,190",Self-paced on your time,University of British Columbia,Gregor Kiczales,Introductory,Computer Science,English,English,125.0,6,2,3
914,Hypersonics – from Shock Waves to Scramjets,"19,043",Self-paced on your time,The University of Queensland,Professor David J. Mee-Professor Richard G. Morgan-Professor Michael Smart-Associate Professor Vincent Wheatley,Advanced,Engineering,English,English,99.0,4,4,8
915,Micro and Nanofabrication (MEMS),"16,094",Self-paced on your time,École polytechnique fédérale de Lausanne,Juergen Brugger-Martin Gijs,Advanced,Engineering,English,"English, Français",199.0,7,3,5
916,Scientific Methods and Research,"7,501",Self-paced on your time,Ural Federal University,Ivan Zamoshchanskii-Kalganova Tatiana,Intermediate,Science,English,English,49.0,5,3,4
917,Customer Centric Marketing for Entrepreneurs,"14,003",Self-paced on your time,Babson College,Beth Goldstein,Intermediate,Business & Management,English,English,149.0,4,4,6
918,Dog Behavior: Problems and Solutions,"16,467",Self-paced on your time,Arizona State University,"Clive D.L. Wynne,",Intermediate,Social Sciences,English,English,169.0,3,4,10
919,The Business of Mining,"20,406",Self-paced on your time,Curtin University,Felix Chan-Steve Hall-Bryan Maybee-Dan Packey,Introductory,Business & Management,English,English,139.0,4,2,3
920,"Social Work Practice in Community Organization, Management and Policy/Evaluation","9,522",Self-paced on your time,The University of Michigan,Barbara Hiltz,Advanced,Social Sciences,English,English,199.0,8,8,10
921,The Business of Aging in the Longevity Economy,,Self-paced on your time,Georgetown University,"Pamela A. Saunders, Ph.D.-Andrew Carle-Sonya Barsness, M.S.-Tara McMulen, Ph.D., MPH",Introductory,Social Sciences,English,English,139.0,4,1,2
922,Understanding the Australian Health Care System,"8,343",Self-paced on your time,The University of Queensland,Cherri Ryan-Mieke van Driel-Allyson Mutch,Introductory,Medicine,English,English,59.0,9,1,2
923,Age of Sustainable Development,"10,019",Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Intermediate,Social Sciences,English,"English, Português, Русский",49.0,14,4,6
924,Internationalization: Creating Digital Content for the World,,Self-paced on your time,University of Washington,Agustín Da Fieno Delucchi-Jorge Russo dos Santos-Pavel Soukenik,Advanced,Computer Science,English,English,199.0,4,2,5
925,Multi-Object Tracking for Automotive Systems,"8,581",Instructor-led on a course schedule,Chalmers University of Technology,Lennart Svensson-Karl Granström-Yuxuan Xia,Advanced,Engineering,English,English,249.0,10,10,20
926,Economics and Policies in a Biobased Economy,,Self-paced on your time,Wageningen University & Research,Justus Wesseler-Dusan Drabik-Hans van Meijl,Advanced,Energy & Earth Sciences,English,English,149.0,4,12,20
927,Strategic Leadership in Healthcare,"6,237",Self-paced on your time,Doane University,Helen Abdali Soosan Fagan,Intermediate,Business & Management,English,English,199.0,5,5,10
928,Terrorism and Counterterrorism: An Introduction,"14,128",Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,English,49.0,3,8,10
929,Exploring Psychology's Core Concepts|走进心理学,"5,741",Self-paced on your time,Tsinghua University,Jing QIAN,Introductory,Social Sciences,English,English,139.0,6,3,5
930,Creating Virtual Reality (VR) Apps,"22,349",Self-paced on your time,"The University of California, San Diego",Jurgen P. Schulze,Intermediate,Computer Science,English,English,99.0,6,5,7
931,Análisis Multivariable en SPSS,,Self-paced on your time,Universidad Galileo,Samuel Reyes Gómez,Introductory,Data Analysis & Statistics,Español,Español,49.0,5,4,5
932,Steps in Japanese for Beginners2 Part1,,Self-paced on your time,Waseda University,Naoko Kinoshita-Yukiyo HAMAKAWA,Introductory,Language,English,English,99.0,5,3,5
933,"Competencias para buscar, mantener y promocionar en un empleo",,Self-paced on your time,Universidad Autónoma de Madrid,Dolores Izuzquiza Gasset-Pablo Rodríguez Herrero-Andrés Cabrera García-Agustín de la Herrán Gascón,Introductory,Social Sciences,Español,Español,49.0,4,3,5
934,Dynamics and Control,"27,763",Self-paced on your time,Universitat Politècnica de Valencia,Pedro Albertos,Introductory,Engineering,English,English,50.0,6,4,5
935,Finding Your Cybersecurity Career Path,"19,283",Self-paced on your time,University of Washington,Barbara Endicott-Popovsky,Introductory,Computer Science,English,English,199.0,6,2,5
936,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,"12,674",Self-paced on your time,Universidad Carlos III de Madrid,Diego Navarro Bonilla-José Luis La Torre Merino-Eduardo Juárez Valero,Introductory,Humanities,Español,Español,29.0,6,3,4
937,Mechanics: Rotational Dynamics,"13,183",Self-paced on your time,Massachusetts Institute of Technology,Peter Dourmashkin-George Stephans-Deepto Chakrabarty-Analia Barrantes,Intermediate,Physics,English,English,49.0,12,10,12
938,Applying Health Coaching in Patient Care,,Self-paced on your time,Doane University,Kelsey Pruss,Introductory,Medicine,English,English,199.0,3,5,10
939,Databases: Modeling and Theory,,Self-paced on your time,Stanford University,Jennifer Widom,Introductory,Computer Science,English,English,50.0,2,8,10
940,"Islamic Banking: Principles, Practice and Risk Management",,Self-paced on your time,The Islamic Research and Training Institute,Azmi Omar-Ahmed Iskanderani-Khalifa M. Ali-Yahya Aleem ur Rehman,Introductory,Economics & Finance,English,English,49.0,4,3,6
941,Liderazgo orientado al florecimiento humano,"7,911",Self-paced on your time,Tecnológico de Monterrey,Santiago José Vázquez Blanco,Introductory,Business & Management,Español,Español,149.0,4,5,8
942,Software Construction: Object-Oriented Design,"23,100",Self-paced on your time,University of British Columbia,Gail Murphy-Elisa Baniassad,Intermediate,Computer Science,English,English,125.0,6,8,10
943,"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",,Self-paced on your time,The Linux Foundation,Stephen Curran-Carol Howard,Introductory,Computer Science,English,English,199.0,7,2,3
944,Fondements de l’économie sociale et solidaire,,Instructor-led on a course schedule,Université catholique de Louvain,Marthe Nyssens,Intermediate,Social Sciences,Français,Français,50.0,12,2,3
945,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,"17,941",Self-paced on your time,Columbia University,Eric Foner-Tim Shenk-Columbia University Center for Teaching and Learning,Introductory,History,English,English,50.0,12,6,8
946,Innovation Strategies for Electric Mobility: The StreetScooter Case,,Self-paced on your time,RWTH Aachen University,Frank T. Piller-Malte Brettel-Achim Kampker-Torsten-Oliver Salge,Intermediate,Business & Management,English,English,99.0,6,2,4
947,Sustainable Energy,,Instructor-led on a course schedule,Massachusetts Institute of Technology,Michael Golay,Advanced,Energy & Earth Sciences,English,English,149.0,13,8,12
948,Designing and Leading Learning Systems,"11,895",Self-paced on your time,The University of Michigan,Donald J. Peurach,Advanced,Education & Teacher Training,English,English,199.0,8,2,4
949,How the U.S. Government Works & How to Get Involved,"5,930",Self-paced on your time,Georgetown University,Lynn Ross-Anne Cammisa-Mark Rom-Clyde Wilcox,Introductory,Social Sciences,English,English,49.0,6,4,5
950,Inspiring and Motivating Arts and Culture Teams,"10,817",Self-paced on your time,The University of Michigan,Scott DeRue-Maxim Sytch-National Arts Strategies (NAS),Introductory,Business & Management,English,English,49.0,5,3,5
951,Principles of Microeconomics: An Economist Way of Thinking,,Self-paced on your time,The University of Queensland,Carl Sherwood,Intermediate,Economics & Finance,English,English,149.0,6,1,2
952,A System View of Communications: From Signals to Packets (Part 1),"34,261",Self-paced on your time,The Hong Kong University of Science and Technology,Bertram Shi-Shenghui Song,Introductory,Computer Science,English,English,60.0,7,4,6
953,"Invasions, Rebellions, and the Fall of Imperial China","41,537",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",139.0,15,1,3
954,AP® English Literature & Composition – Part 3: Plays,"6,443",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,49.0,7,4,5
955,Cómo implantar grupos de mejora de procesos,"28,100",Self-paced on your time,Universitat Politècnica de Valencia,Juan A. Marin-García-Julio J. García-Sabater-Julien Maheut-José Pedro García-Sabater,Introductory,Business & Management,Español,Español,150.0,8,3,4
956,Proteins: Biology's Workforce,"25,893",Self-paced on your time,Rice University,Elizabeth Eich-Daniel J. Catanese,Intermediate,Biology & Life Sciences,English,English,169.0,5,4,6
957,Introducción a los ritmos y relojes biológicos,"6,149",Self-paced on your time,Universidad Nacional de Córdoba,Mario Eduardo Guido-Eduardo Garbarino Pico-Ágata Carpentieri-María Ana Contin,Introductory,Science,Español,"English, Español",50.0,4,6,8
958,Linear Algebra I: Linear Equations,,Self-paced on your time,The Georgia Institute of Technology,Greg Mayer,Intermediate,Math,English,English,199.0,3,5,6
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications","10,205",Self-paced on your time,École polytechnique fédérale de Lausanne,Rolf Gruetter,Advanced,Engineering,English,English,169.0,7,4,5
960,Fundamentos de Electromagnetismo para Ingeniería,"15,040",Self-paced on your time,Universitat Politècnica de Valencia,Pilar Candelas Valiente-M. Ángeles Hernández Fenollosa-Constanza Rubio Michavila-Marcos Giménez Valentín,Introductory,Physics,Español,Español,49.0,7,4,5
961,Sustainable Food Systems: A Mediterranean Perspective,"6,480",Self-paced on your time,SDG Academy,Jeffrey D. Sachs-Alessio Cavicchi-Sonia Massari-Stefano Pascucci,Intermediate,Food & Nutrition,English,"English, Français, Italiano",49.0,10,2,4
962,Scripting and Programming Foundations,,Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,299.7,8,9,10
963,Using GPUs to Scale and Speed-up Deep Learning,"9,294",Self-paced on your time,IBM,Saeed Aghabozorgi,Intermediate,Data Analysis & Statistics,English,English,99.0,5,2,4
964,StudioX: Creating a Course with edX Studio,"20,355",Self-paced on your time,edX,Nina Huntemann-Ben Piscopo,Introductory,Education & Teacher Training,English,English,99.0,3,4,6
965,The Power of Data,,Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,English,49.0,2,1,5
